Country,govPrimary,govSecondary,govTertiary,privPrimary,privSecondary,privTertiary,aidPrimary,aidSecondary,aidTertiary,Primary,Secondary,Tertiary,gov9500,gov0005,gov0510,priv9500,priv0005,priv0510,aid9500,aid0005,aid0510,gini9500,gini0005,gini0510,gini
Benin,67.28,96.15,67.24,66.27,176.96,46.28,13.44,12.45,27.68,146.99,285.56,141.20,844.42,816.79,764.41,,526.03,886.00,89.36,401.32,366.34,,0.38,,0.38
Burkina Faso,124.61,108.84,112.36,28.48,110.02,11.62,33.47,21.10,37.92,186.56,239.95,161.90,,1050.03,1357.09,,254.67,,135.22,380.05,557.11,0.49,0.42,0.39,0.44
Burundi,20.78,81.63,81.24,5.05,48.80,29.81,2.95,10.97,19.33,28.78,141.40,130.37,1185.68,769.22,814.99,,,351.90,132.57,161.10,207.47,0.42,,0.33,-0.38
Cabo Verde,418.70,471.96,222.78,220.41,52.95,59.48,9.09,161.87,875.02,648.20,686.77,1157.27,,3571.87,2147.16,,220.41,647.70,16853.98,11173.76,4924.64,,0.45,,0.45
Cameroon,73.30,354.63,49.37,3.71,329.74,32.44,2.96,5.46,80.81,79.96,689.83,162.62,,854.59,836.64,,654.13,3.71,282.68,962.99,634.82,0.47,0.43,0.40,-0.44
Chad,43.25,112.67,127.61,5.79,27.30,9.82,5.68,7.63,29.13,54.72,147.60,166.56,857.98,1637.45,1836.81,,131.25,,126.87,424.93,156.26,,0.40,,0.40
Congo,148.21,150.60,202.85,16.85,84.33,10.14,3.23,22.62,77.56,168.29,257.55,290.56,,1147.67,189.69,,202.61,,108.69,655.52,104.49,,0.47,0.47,0.47
Cote d'Ivoire,135.87,319.22,140.06,44.23,236.22,37.37,3.35,16.21,9.70,183.45,571.65,187.14,724.82,84.79,1392.32,,654.18,,31.09,1.87,109.42,0.39,0.45,0.45,-0.43
Djibouti,261.53,380.20,259.27,11.88,47.47,17.14,102.40,148.73,708.76,375.81,576.40,985.17,315.95,,925.76,,,230.73,3801.99,12151.80,5967.16,0.41,0.41,,0.41
Gambia,41.11,75.53,89.29,88.21,137.26,100.69,9.40,9.47,249.08,138.73,222.26,439.05,,142.84,281.57,,,1232.33,91.20,39.87,1591.48,0.52,0.48,,-0.51
Madagascar,29.86,52.75,52.02,15.75,32.49,7.84,3.02,4.27,35.04,48.63,89.51,94.90,460.97,525.13,632.50,,126.63,,72.96,526.38,474.35,0.41,0.43,0.40,-0.41
Malawi,18.79,41.82,436.16,3.83,18.22,18.49,11.81,22.62,44.91,34.43,82.67,499.57,4148.49,3539.69,6441.21,,206.98,,317.86,532.06,657.78,0.51,0.42,0.41,0.45
Mali,56.41,203.83,78.70,14.47,26.40,6.26,33.81,22.97,24.57,104.69,253.20,109.53,899.29,,1145.81,,103.48,,297.31,358.13,164.83,0.45,0.40,0.37,-0.41
Mauritania,88.20,251.66,119.94,16.00,42.38,19.73,14.59,31.24,127.00,118.79,325.28,266.67,646.99,212.16,1734.27,,255.64,,164.59,1700.59,1584.45,0.38,0.40,0.39,-0.39
Niger,83.73,160.43,143.37,3.92,21.74,9.73,13.82,18.89,68.41,101.47,201.05,221.51,,55.57,1683.46,,122.91,,29.42,286.14,773.50,0.49,0.46,0.39,-0.45
Rwanda,32.63,139.63,130.45,8.25,539.85,76.17,7.84,35.27,39.91,48.72,714.75,246.53,2746.45,1841.44,1124.42,,1309.83,,451.23,532.92,342.52,0.48,0.52,0.52,-0.50
Tanzania,45.90,81.91,66.57,6.62,64.71,33.03,10.98,8.13,56.93,63.51,154.76,156.53,,2468.62,1198.01,,401.61,,520.41,671.24,167.22,0.36,0.35,0.36,0.36