region,country
North,Algeria
North,Egypt
North,Libya
North,Mauritania
North,Tunisia
Southern,Angola
Southern,Botswana
Southern,Lesotho
Southern,Malawi
Southern,Mozambique
Southern,Namibia
Southern,South Africa
Southern,Swaziland
Southern,Zambia
Southern,Zimbabwe
East,Comoros
East,Djibouti
East,Ethiopia
East,Eritrea
East,Kenya
East,Madagascar
East,Mauritius
East,Rwanda
East,Seychelles
East,Somalia
East,South Sudan
East,Sudan
East,Tanzania
East,Uganda
West,Benin
West,Burkina Faso
West,Cabo Verde
West,Cote d'Ivoire
West,Gambia
West,Ghana
West,Guinea-Bissau
West,Guinea
West,Liberia
West,Mali
West,Niger
West,Nigeria
West,Senegal
West,Sierra Leone
West,Togo
Central,Burundi
Central,Cameroon
Central,Central African Republic
Central,Chad
Central,Republic of the Congo
Central,Democratic Republic of the Congo
Central,Equatorial Guinea
Central,Gabon
Central,Sao Tome and Principe