Country,Region,gini9195,gini9600,gini0105,gini0610,change-rate-2-4,ter9195,ter9600,ter0105,ter0610,pri9195,pri9600,pri0105,pri0610,sec9195,sec9600,sec0105,sec0610
Algeria,Northern Africa,35.3,,,,,10.70380211,12.50615501,18.22269421,18.22269421,87.71174164,87.95752525,92.41393738,92.41393738,52.24993896,52.68577003,0,0
Angola,Middle Africa,,58.6,,46.66666667,20.36405006,0.554004997,0.571985006,2.179247499,2.179247499,0,49.6805687,0,0,0,0,0,0
Benin,Western Africa,,,37.55,,,2.18436799,2.870710015,5.441075897,5.441075897,52.91881371,60.04214478,82.23890432,82.23890432,0,17.25822067,18.64569092,18.64569092
Botswana,Southern Africa,48.525,,59.95,48.1,,4.89050746,6.059080005,8.571290016,8.571290016,85.01425781,79.78126717,84.49875641,84.49875641,39.96960983,54.89981333,54.70986557,54.70986557
Burkina Faso,Western Africa,47.46666667,57.93333333,39.5,39.8,31.30034522,0.973000014,1.007540007,1.619377494,1.619377494,29.0042099,35.60054652,39.91055832,39.91055832,6.800309976,8.638090134,9.855464935,9.855464935
Burundi,Eastern Africa,33.3,42.4,,33.3,21.46226415,0.86049668,1.019513349,1.869260013,1.869260013,47.76948166,40.51459885,51.82188797,51.82188797,4.960680008,0,0,0
Cameroon,Middle Africa,,54.4,42.5,35.46666667,34.80392157,3.156830072,4.744985104,5.128505993,5.128505993,70.13020325,0,0,0,0,0,0,0
Cabo Verde,Western Africa,,,50.5,,,0,1.933694959,4.803249955,4.803249955,99.13336182,98.50286865,93.65456696,93.65456696,24.1446209,0,56.04751682,56.04751682
Central African Republic,Middle Africa,59.83333333,,43.6,56.3,,1.438664973,1.875310004,1.701550007,1.701550007,53.10655975,0,48.354599,48.354599,0,0,0,0
Chad,Middle Africa,,,39.8,,,0,0.681807518,1.093824998,1.093824998,0,45.90477142,55.49138641,55.49138641,0,6.788656712,9.513606389,9.513606389
Comoros,Eastern Africa,,,64.3,,,0.603644997,1.195430001,3.016330004,3.016330004,67.64505768,63.48511314,0,0,0,0,0,0
"Congo, rep.",Middle Africa,,,47.3,,,5.285999934,4.423415065,4.036903381,4.036903381,0,0,53.41566849,53.41566849,0,0,0,0
"Congo, Dem. Rep.",Middle Africa,,,,44.4,,2.510439992,1.460520029,0,0,60.3075592,35.3699913,0,0,17.48760351,0,0,0
Cote D'Ivoire,Western Africa,38.7,40.8,46.2,44.7,-9.558823529,3.602597475,6.561619997,0,0,48.77828979,55.73625278,58.81484985,58.81484985,0,0,0,0
Djibouti,Eastern Africa,,41.45,40.9,,,0.081915,0.244667504,1.385667992,1.385667992,27.42920799,26.11394978,31.96738243,31.96738243,0,11.15909958,17.17058015,17.17058015
Ethiopia,Eastern Africa,39.825,37.5,29.8,31.43333333,16.17777778,0.706753333,0.901986003,2.143095994,2.143095994,20.52303505,33.85149193,49.2479454,49.2479454,0,11.6426053,13.8636899,13.8636899
Gabon,Middle Africa,44.1,,41.5,,,0,7.177979946,8.280845165,8.280845165,0,91.23397827,0,0,0,0,0,0
"Gambia, the",Western Africa,59.625,48.85,47.3,,,1.75959003,1.052279949,1.151569963,1.151569963,47.64964867,67.19452286,72.61143341,72.61143341,0,0,0,0
Ghana,Western Africa,36.1,38.96666667,,,,1.182844996,0,5.706820011,5.706820011,0,63.09038162,61.81314697,61.81314697,0,34.57489967,36.41113815,36.41113815
Guinea,Western Africa,49.53333333,,39.45,39.4,,1.151108003,1.168933352,2.510890007,2.510890007,27.82344055,41.84064992,57.63634567,57.63634567,0,11.43437004,19.18819199,19.18819199
Guinea-Bissau,Western Africa,47.96666667,,35.5,,,0,0,2.167779922,2.167779922,0,46.51155853,0,0,0,8.131099701,0,0
Kenya,Eastern Africa,50.15,51.125,47.7,42.86666667,16.15321923,0,2.747859955,2.881767452,2.881767452,0,63.85873413,70.52843018,70.52843018,0,33.32146072,37.06641846,37.06641846
Lesotho,Southern Africa,62.52777778,60,52.5,,,2.195529985,2.335246642,2.906684995,2.906684995,72.3355484,68.57385349,79.34412231,79.34412231,16.6678977,17.92828965,23.59281044,23.59281044
Liberia,Western Africa,,,,38.2,,0,13.85399485,0,0,0,46.63386917,0,0,0,0,0,0
Madagascar,Eastern Africa,49.76666667,40.4,43.7,39.3,2.722772277,3.001702547,2.115213966,2.436619997,2.436619997,56.17956161,61.77990723,70.24282328,70.24282328,0,0,17.04339027,17.04339027
Malawi,Eastern Africa,62,50.3,39,40.33333333,19.81444665,0.555158007,0.405953338,0.428372002,0.428372002,0,96.23834229,97.70106252,97.70106252,0,28.12712034,24.721385,24.721385
Mali,Western Africa,61.03333333,,40.05,36,,0.82773,1.545230031,2.062384963,2.062384963,0,43.74721909,52.39412022,52.39412022,5.517980099,0,0,0
Mauritania,Western Africa,47.28333333,38.15,41.3,38,0.393184797,3.233624029,3.848784983,3.127897978,3.127897978,50.52623558,59.24044037,66.47715073,66.47715073,0,0,13.6987226,13.6987226
Mauritius,Eastern Africa,37.45,38.7,37.1,38.8,-0.258397933,4.869804978,8.562669873,17.73558998,17.73558998,93.45110703,95.33307495,94.24401398,94.24401398,0,66.36701457,74.42204285,74.42204285
Morocco,Northern Africa,35.9,39.5,40.6,38.33333333,2.953586498,10.67503185,10.20172,10.88965607,10.88965607,58.68675461,69.15562592,83.98387909,83.98387909,0,0,39.7353096,39.7353096
Mozambique,Eastern Africa,,42.05,47.2,42.06666667,-0.039635355,0.429812491,0.60055999,1.144550006,1.144550006,41.73882828,51.6907692,63.39095974,63.39095974,6.245197535,2.939040065,4.662124991,4.662124991
Namibia,Southern Africa,74.3,,63.9,59.7,,5.257690032,5.612145185,6.466827512,6.466827512,84.47012583,86.32431946,88.17224121,88.17224121,31.87560081,39.2403272,48.05233994,48.05233994
Niger,Western Africa,45.5,,43.9,34.5,,0.74466002,0,1.004543304,1.004543304,23.23251534,25.92686796,37.28908005,37.28908005,5.924550056,5.643445015,6.855397892,6.855397892
Nigeria,Western Africa,47.83333333,50.35,43.3,45.375,9.880834161,0,6.083089828,9.966420174,9.966420174,0,63.37006569,66.34643936,66.34643936,0,0,0,0
Rwanda,Eastern Africa,,45.1,,53.1,-17.7383592,0,1.058020025,2.284097958,2.284097958,0,78.73429108,85.24028015,85.24028015,0,0,0,0
Sao Tome And Principe,Middle Africa,,,50.8,,,0,0,0,0,0,82.49848175,96.97672272,96.97672272,0,0,28.09612274,28.09612274
Senegal,Western Africa,46.03333333,,40.25,,,3.24864006,3.303520083,5.195295095,5.195295095,45.25405884,54.30735703,63.52149709,63.52149709,0,0,17.12320471,17.12320471
Seychelles,Eastern Africa,,42.7,,39.9,6.557377049,0,0,0,0,90.14979045,89.40506744,93.1506485,93.1506485,81.09606425,76.26686096,74.63443756,74.63443756
Sierra Leone,Western Africa,,,39,,,1.425979972,1.755249977,2.204494953,2.204494953,0,0,0,0,0,0,0,0
Somalia,Eastern Africa,,,39.7,,,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Southern Africa,59.15,56.15,,62.325,-10.99732858,13.39236259,0,0,0,92.88688405,89.47348277,85.96700287,85.96700287,50.41445923,60.96452904,62.30047836,62.30047836
South Sudan,Eastern Africa,,,,45.5,,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Northern Africa,,,,35.3,,0,6.375095129,9.601161957,9.601161957,0,0,0,0,0,0,0,0
Swaziland,Southern Africa,60.8,,50.55,51.5,,4.1295801,5.156026681,4.91633002,4.91633002,74.22476959,71.10820198,73.74673462,73.74673462,0,32.43468602,30.58992805,30.58992805
Tanzania,Eastern Africa,46.1,34.6,35,34.33333333,0.770712909,0.393395996,0.609565997,1.014936006,1.014936006,49.77331009,49.76939468,76.96690292,76.96690292,0,0,0,0
Togo,Western Africa,,,,34.4,,2.671575975,3.10453999,0,0,66.98255793,80.83324623,87.26399078,87.26399078,15.76544952,21.94966984,0,0
Tunisia,Northern Africa,41.7,40.3,41.4,,,10.58946609,15.69103394,26.86711197,26.86711197,95.81474762,94.74196243,98.39481812,98.39481812,0,0,0,0
Uganda,Eastern Africa,42.01666667,43.15,41.6875,41.6,3.59212051,1.465030003,2.132933299,3.388419986,3.388419986,0,0,0,0,0,13.69060993,15.54868813,15.54868813
Zambia,Eastern Africa,58.25,56.7625,47.65,,,0,2.232824922,0,0,71.04201889,65.05511475,74.91289711,74.91289711,0,0,0,0
Zimbabwe,Eastern Africa,72.45,,,,,5.510020018,0,0,0,0,82.72264353,83.60908508,83.60908508,0,39.92545509,38.16110992,38.16110992